繁體	简体	吴拼	原书转写吴拼	页码
矮牆	矮墙	a zhian	a zhian	430
矮凳	矮凳	a ten	a ten	430
矮趽狗	矮趽狗	a ban keu	a ban keu	430
矮跍跍	矮跍跍	a ku ku	a ku ku	431
矮中取長	矮中取长	a tson tshyu jian	a tson tshyu jian	431
稗草	稗草	bo tshau	bo tshau	431
稠𣿊	稠𣿊	jieu li	jieu li	431
揫	揫	chieu1	chieu1	431
愁心	愁心	zeu shin	zeu shin	431
愁愁	愁愁	zeu zeu	zeu zeu	431
愁忳忳	愁忳忳	zeu ten ten	zeu ten ten	431
筲	筲	sau1	sau1	431
筲箕	筲箕	sau ci	sau ci	432
筲箕肚	筲箕肚	sau ci du	sau ci du	432
筷箸籠	筷箸笼	khuae ji lon	khuae ji lon	432
傿價鈿	傿价钿	i ko di	i ko di	432
毀	毁	shiu5	shiu5	432
舅姆	舅姆	jieu m	jieu m	432
傻	傻	shia5	shia5	432
傻子	傻子	shia tsy	shia tsy	432
傻氣氣	傻气气	shia chi chi	shia chi chi	432
像人家	像人家	zhian gnin ko	zhian gnin ko	432
像模像樣	像模像样	zhian moq zhian yan	zhian moq zhian yan	433
䠷頭王	䠷头王	thiau deu waon	thiau deu waon	433
𧡬盯	𧡬盯	chin tin	chin tin	433
遙倰倰	遥倰倰	yau lin lin	yau lin lin	433
膩腥	腻腥	gni shin	gni shin	433
膩腥不剌	腻腥不剌	gni shin paq laq	gni shin paq laq	433
腰身	腰身	iau shin	iau shin	433
腰縛	腰缚	iau bou	iau bou	433
腰子病	腰子病	iau tsy bin	iau tsy bin	433
腥鹹氣	腥咸气	shin ghae chi	shin ghae chi	433
腥氣括得	腥气括得	shin chi kuaq taq	shin chi kuaq taq	434
腥鹹括氣	腥咸括气	shin ghae kuaq chi	shin ghae kuaq chi	434
䱀顙魚	𫚐颡鱼	aon saon ng	aon saon ng	434
䱀顙魚	𫚐颡鱼	aon tsaon ng	aon tsaon ng	434
鮊魚	鲌鱼	ba ng	ba ng	434
鮑	鲍	bau4	bau6	434
觸黴頭	触霉头	tshoq mei deu	tshoq mei deu	434
解	解	ka5	ka5	434
解	解	ga4	ga6	434
解	解	ka3	ka3	434
解匠	解匠	ka zhian	ka zhian	435
解匠	解匠	kan zhian	kan zhian	435
解板	解板	ka pae	ka pae	435
解縛	解缚	ka bou	ka bou	435
解心焦	解心焦	ka shin ciau	ka shin ciau	435
解樹螂	解树螂	ka zyu laon	ka zyu laon	435
解樹螂	解树螂	ka dzyu laon	ka dzyu laon	435
覅	覅	fe1	fe1	435
覅其	覅其	fe ji	fe ji	435
煞	煞	saq7	saq7	435
煞人	煞人	saq gnin	saq gnin	435
煞死	煞死	saq shi	saq shi	435
煞口	煞口	saq kheu	saq kheu	436
煞快	煞快	saq khua	saq khua	436
煞格	煞格	saq kaq	saq kaq	436
煞婆	煞婆	saq bou	saq bou	436
煞辣	煞辣	saq laq	saq laq	436
煞辣	煞辣	saq naq	saq naq	436
煞仔人	煞仔人	saq tsy gnin	saq tsy gnin	436
煞清爽	煞清爽	saq chin saon	saq chin saon	436
煞潑閒話	煞泼闲话	saq phaq ghae wo	saq phaq ghae wo	436
醬豆腐	酱豆腐	cian deu vu	cian deu vu	436
醬貨店	酱货店	cian hou ti	cian hou ti	437
醬醭氣	酱醭气	cian phoq chi	cian phoq chi	437
瘄子	瘄子	tshu tsy	tshu tsy	437
瘃	瘃	tsoq7	tsoq7	437
痬	痬	yi2	yi2	437
新婦	新妇	shin vu	shin vu	437
新年新歲	新年新岁	shin gni shin syu	shin gni shin syu	437
新花暴熱	新花暴热	shin huo pau gniq	shin huo pau gniq	437
意見	意见	i ci	i ci	438
意外	意外	i nga	i nga	438
糧站	粮站	lian dzae	lian dzae	438
數	数	su5	su5	438
數帳	数帐	su cian	su cian	438
塑子	塑子	su tsy	su tsy	438
煤餅	煤饼	mei pin	mei pin	438
煤頭紙	煤头纸	mei deu tsy	mei deu tsy	438
煠	煠	zaq8	zaq8	438
煏	煏	biq8	biq8	438
煨	煨	uei1	uei1	438
𤒘	𤒘	toq7	toq7	439
㷟	㷟	thei1	thei1	439
煔	煔	yi2	yi6	439
煆	煆	huo5	huo5	439
滿筍	满笋	mun syun	moe syun	439
滿進溢出	满进溢出	mun cin kaq tshyuq	moe cin kaq tshyuq	439
滿嘴滿得	满嘴满得	mun tsyu mun taq	moe tsyu moe taq	439
潷	滗	piq7	piq7	439
溪坑	溪坑	chi khan	chi khan	439
溜	溜	lieu6	lieu6	440
滾	滚	kuen3	kuen3	440
滾壯	滚壮	kuen tsaon	kuen tsaon	440
滾天黑地	滚天黑地	kuen thi haq di	kuen thi haq di	440
滾得斯圓	滚得斯圆	kuen taq sy yu	kuen taq sy yu	440
溢	溢	kaq7	kaq7	440
灘簧	滩簧	thae waon	thae waon	440
慥	慥	tshau5	tshau5	440
躁	躁	tshau5	tshau5	440
鱟	鲎	heu5	heu5	440
塞頭	塞头	saq deu	saq deu	440
塞嘴	塞嘴	saq tsyu	saq tsyu	441
塞暗亮頭	塞暗亮头	saq ei lian deu	saq ei lian deu	441
塞暗亮錢	塞暗亮钱	saq ei lian ji	saq ei lian ji	441
窠	窠	khou1	khou1	441
窠座	窠座	khou zou	khou zou	441
窞	窞	dei2	dei2	441
㝥花眼暩	㝥花眼暩	mi huo ngae chi	mi huo ngae chi	441
福利	福利	foq li	foq li	441
㜅	㜅	shiuq7	shiuq7	441
㜅頭	㜅头	shiuq deu	shiuq deu	442
嫌鄙	嫌鄙	i pi	i pi	442
嫁資	嫁资	ko tsy	ko tsy	442
戤	戤	ge4	ge6	442
戤白皮	戤白皮	ge baq bi	ge baq bi	442
戤牌頭	戤牌头	ge ba deu	ge ba deu	442
縛	缚	bou6	bou6	442
縫道	缝道	von dau	von dau	442
縫道	缝道	ven dau	ven dau	442
縫衣機	缝衣机	von i ci	von i ci	442
縫衣機	缝衣机	ven i ci	ven i ci	442
纏身龍	缠身龙	ji shin lon	ji shin lon	442
騸雞	骟鸡	shi ci	shi ci	443
耥	耥	thaon5	thaon5	443
靜止	静止	zhin tsy	zhin tsy	443
靜止	静止	zhin tsyu	zhin tsyu	443
靜止止	静止止	zhin tsy tsy	zhin tsy tsy	443
靜止止	静止止	zhin tsyu tsyu	zhin tsyu tsyu	443
𩔳	𫖴	tsaq7	tsaq7	443
碧波清	碧波清	piq pou chin	piq pou chin	443
碧綠青翠	碧绿青翠	piq loq chin tshei	piq loq chin tshei	443
靉	叆	a5	a5	443
靉愁愁	叆愁愁	a zeu zeu	a zeu zeu	444
墈	墈	khae5	khae5	444
墈	墈	khi5	khi5	444
牆門	墙门	zhian men	zhian men	444
摗	摗	seu5	seu5	444
𧻲	𧻲	mha1	mha1	444
𧻲	𧻲	ma2	ma2	444
𧻲𧻲動	𧻲𧻲动	mha mha don	mha mha don	444
𧻴趤公子	𧻴趤公子	laon daon kon tsy	laon daon kon tsy	444
摝	摝	lhoq7	lhoq7	444
摘	摘	tsoq7	tsoq7	444
摘奶	摘奶	tsaq na	tsaq na	444
摘紅	摘红	tsaq kon	tsaq kon	444
摘帽子	摘帽子	tsoq mau tsy	tsoq mau tsy	445
聚隊	聚队	zyu dei	zyu dei	445
蔫	蔫	i1	i1	445
蔫樣黃	蔫样黄	i yan waon	i yan waon	445
蔫糟糟	蔫糟糟	i tsau tsau	i tsau tsau	445
槅子	槅子	kaq tsy	kaq tsy	445
榨面	榨面	tso mi	tso mi	445
遭	遭	tsau1	tsau1	445
遭眼	遭眼	tsau ngae	tsau ngae	445
酵頭	酵头	kau deu	kau deu	446
酸口	酸口	soe kheu	soe kheu	446
酸丟丟	酸丢丢	soe tieu tieu	soe tieu tieu	446
酸汪汪	酸汪汪	soe uaon uaon	soe uaon uaon	446
酸頓頓	酸顿顿	soe ten ten	soe ten ten	446
酸滋滋	酸滋滋	soe tsy tsy	soe tsy tsy	446
酸䐥䐥	酸䐥䐥	soe on on	soe on on	446
㼑	㼑	li6	li6	446
砌	砌	chi5	chi5	446
㕐	㕐	shia3	shia3	446
𩂢𩂢	𩂢𩂢	nga nga	nga nga	447
雌老虎	雌老虎	tshy lau fu	tshy lau fu	447
𪙞牙	𬺅牙	tshae ngo	tshae ngo	447
𥈊	𥈊	saq7	saq7	447
瞇覷眼	瞇觑眼	mhi tshyu ngae	mhi tshyu ngae	447
瞇覷眼	瞇觑眼	mhi chi ngae	mhi chi ngae	447
嗽	嗽	seu5	seu5	447
䟴	䟴	tsyun5	tsyun5	447
𨂅𨂅	𨂅𨂅	piq piq	piq piq	447
𨂅𨂅	𨂅𨂅	biq biq	biq biq	447
踉䠀	踉䠀	laon thaon	laon thaon	448
蠟燭	蜡烛	laq tsoq	laq tsoq	448
蠟燭包	蜡烛包	laq tsoq pau	laq tsoq pau	448
蠟蠟黃	蜡蜡黄	laq laq waon	laq laq waon	448
⿱咋會	⿱咋会	dzei2	dzei2	448
⿱咋會	⿱咋会	dzaq8	dzaq8	448
賺	赚	dzae6	dzae6	448
賺頭	赚头	dzae deu	dzae deu	448
骷顱頭	骷颅头	khu lu deu	khu lu deu	448
骷顱頭	骷颅头	khu leu deu	khu leu deu	448
骷顱頭甏	骷颅头甏	khu lu deu ban	khu lu deu ban	448
骷顱頭甏	骷颅头甏	khu leu deu ban	khu leu deu ban	448
鏤	镂	lheu1	lheu1	449
鏤眼	镂眼	lheu ngae	lheu ngae	449
鏤勾師	镂勾师	leu keu sy	leu keu sy	449
鏤膿刮髓	镂脓刮髓	lheu non kuaq shi	lheu non kuaq shi	449
鏤鏤挖挖	镂镂挖挖	lheu lheu uaq uaq	lheu lheu uaq uaq	449
穩篤六株	稳笃六株	uen toq loq tsyu	uen toq loq tsyu	449
箍桶	箍桶	khou don	khou don	449
箍桶	箍桶	khu don	khu don	449
箬殼	箬壳	gniaq khoq	gniq khoq	449
箬鰈	箬鲽	gnioq thaq	gnioq thaq	449
算帳	算帐	soe cian	soe cian	449
籮	箩	lou2	lou2	450
籮窠	箩窠	lou khou	lou khou	450
管	管	kun3	ku3	450
管着	管着	kun dzoq	ku dzoq	450
管且啥	管且啥	kun chie sou	ku tshe sou	450
管且啥咯	管且啥咯	kun chie sou goq	ku tshe sou goq	450
管且咋	管且咋	kun chie dza	ku tshe dza	450
管且咋咯	管且咋咯	kun chie dza goq	ku tshe dza goq	450
簫	箫	shiau1	shiau1	450
鼻頭	鼻头	baq deu	baq deu	450
鼻頭水	鼻头水	baq deu syu	baq deu syu	450
鼻頭紅	鼻头红	baq deu on	baq deu on	450
鼻頭紅血	鼻头红血	baq deu on shiuq	baq deu on shiuq	450
鼻頭屙	鼻头屙	baq deu ou	baq deu ou	450
鼻頭樑	鼻头梁	baq deu lian	baq deu lian	451
鼻頭樑	鼻头梁	baq deu gnian	baq deu gnian	451
鼻頭管	鼻头管	baq deu kun	baq deu ku	451
魄屍	魄尸	phoq sy	phoq sy	451
魄莫	魄莫	phoq moq	phoq moq	451
僝	僝	zae4	zae6	451
僝頭	僝头	zae deu	zae deu	451
貌相	貌相	ma shian	ma shian	451
鱭魚	鲚鱼	ji ng	ji ng	451
鮮豁豁	鲜豁豁	shi huaq huaq	shi huaq huaq	451
鮮朵朵	鲜朵朵	shi do do	shi do do	451
疑心疑惑	疑心疑惑	gni shin gni ghoq	gni shin gni ghoq	451
孵豆芽	孵豆芽	bu deu ngo	bu deu ngo	452
饅頭	馒头	mun deu	moe deu	452
敲	敲	khau1	khau1	452
敲糖	敲糖	khau daon	khau daon	452
敲釘轉腳	敲钉转脚	khau tin tsoe ciaq	khau tin tsoe ciq	452
豪𢜶	豪𢜶	ghau sau	ghau sau	452
豪燥	豪燥	ghau sau	ghau sau	452
膏	膏	kau1	kau1	452
膏蟹	膏蟹	kau ha	kau ha	452
歊	歊	hau1	hau5	453
腐	腐	vu6	vu6	453
腐滯滯	腐滞滯	vu ji ji	vu ji ji	453
腐𤒻𤒻	腐𤒻𤒻	vu daq daq	vu daq daq	453
腐滯括剌	腐滞括剌	vu ji kuaq la	vu ji kuaq la	453
腐滯括剌	腐滞括剌	vu jiq kuaq la	vu jiq kuaq la	453
腐滯括剌	腐滞括剌	vu ji guaq la	vu ji guaq la	453
腐滯括剌	腐滞括剌	vu jiq guaq la	vu jiq guaq la	453
腐滯括剌	腐滞括剌	vu ji kuaq laq	vu ji kuaq laq	453
腐滯括剌	腐滞括剌	vu jiq kuaq laq	vu jiq kuaq laq	453
腐滯括剌	腐滞括剌	vu jiq guaq laq	vu jiq guaq laq	453
瘟孫	瘟孙	uen sen	uen sen	453
瘦怯怯	瘦怯怯	seu chiq chiq	seu chiq chiq	453
瘦削削	瘦削削	seu shiq shiq	seu shiq shiq	453
瘦骨饞	瘦骨馋	seu kuaq ze	seu kuaq zae	454
瘦骨饞	瘦骨馋	seu kuaq dze	seu kuaq dzae	454
瘥	瘥	tsho5	tsho5	454
辣	辣	laq8	laq8	454
辣茄	辣茄	laq jia	laq jia	454
辣茄	辣茄	laq jie	laq jie	454
辣酥	辣酥	laq su	laq su	454
辣貨醬	辣货酱	laq hou cian	laq hou cian	454
辣呵呵	辣呵呵	laq hou hou	laq hou hou	454
辣麻麻	辣麻麻	laq mo mo	laq mo mo	454
端午	端午	ton ng	ton ng	454
端五	端五	ton ng	ton ng	454
精明	精明	cin min	cin min	454
精打光	精打光	cin tan kuaon	cin tan kuaon	454
精光的滑	精光的滑	cin kuaon tiq waq	cin kuaon tiq waq	455
精光滑澾	精光滑㳠	cin kuaon waq thaq	cin kuaon waq thaq	455
精光滑澾	精光滑㳠	cin kuaon waq daq	cin kuaon waq daq	455
漆烏	漆乌	tshaq u	tshaq u	455
漆黑	漆黑	tshaq haq	tshaq haq	455
漆暗	漆暗	tshaq ei	tshaq ei	455
漆蒿蒿	漆蒿蒿	chiq hau hau	chiq hau hau	455
漆暗卜朧	漆暗卜胧	tshaq ei boq lon	tshaq ei boq lon	455
漕	漕	zau2	zau2	455
漕嘴	漕嘴	zau tsyu	zau tsyu	455
滮	滮	piau1	piau1	455
漫	漫	mun4	moe6	456
瀴	瀴	in5	in5	456
漉篩油	漉筛油	loq sy yeu	loq sy yeu	456
滰	滰	jian4	jian6	456
滰浴	滰浴	jian gnioq	jian gnioq	456
滰腳面桶	滰脚面桶	jian ciaq mi don	jian ciq mi don	456
滴水下	滴水下	tiq syu gho	tiq syu gho	456
慢𠆩	慢𠆩	mae fae	mae fae	456
慢䋼䋼	慢䋼䋼	mae than than	mae than than	456
賽過	赛过	se kou	se kou	457
賽過	赛过	sei kou	sei kou	457
賽過	赛过	se khou	se khou	457
賽過	赛过	sei khou	sei khou	457
𠠖	𠠖	kon3	kon5	457
蜜甜	蜜甜	miq di	miq di	457
譆	譆	syu1	syu5	457
褙襞	褙襞	pei paq	pei paq	457
褓裙	褓裙	bau jiun	bau jiun	457
褪	褪	then5	then5	457
褪缺	褪缺	then chiuq	then chiuq	457
䜒	䜒	au5	au5	457
嫩面	嫩面	nen mi	nen mi	458
嫩勢	嫩势	nen syu	nen syu	458
嫩艾艾	嫩艾艾	nen nge nge	nen nge nge	458
凳櫥	凳橱	ten dzyu	ten dzyu	458
繅線蟲	缫线虫	shiau shi dzon	shiau shi dzon	458
漦涎	漦涎	li zae	li zae	458
漦涎	漦涎	gni zae	gni zae	458
撒	撒	dza4	dza6	458
撒	撒	sei5	sei1	458
撒	撒	tsaq7	tsaq7	458
撒肚皮	撒肚皮	dza du bi	dza du bi	458
撒尿樸	撒尿朴	dza syu phoq	dza syu phoq	459
撒屙樸	撒屙朴	dza ou phoq	dza ou phoq	459
撒潑無賴	撒泼无赖	saq phaq wu la	saq phaq wu la	459
撒潑無賴	撒泼无赖	saq phaq vu la	saq phaq wu la	459
撒撒塞塞	撒撒塞塞	sei sei saq saq	sei sei saq saq	459
擖	擖	guaq8	guaq8	459
撩	撩	liau2	liau2	459
撩表	撩表	liau piau	liau piau	459
撩海	撩海	liau he	liau he	459
撩篩	撩筛	liau sy	liau sy	459
撩弗着	撩弗着	liau vaq dzoq	liau faq dzoq	460
撍	撍	tsae3	tsae3	460
趣向	趣向	tshyu shian	tshyu shian	460
趞趞	趞趞	chiq chiq	chiq chiq	460
趤	趤	dan6	dan6	460
趤頭	趤头	dan deu	dan deu	460
趤亨	趤亨	dan han	dan han	460
撐	撑	tshan1	tshan1	460
撐	撑	tsan1	tsan1	460
撐腳	撑脚	tshan ciaq	tshan ciq	460
撐鬥風船	撐斗风船	tshan teu fon zoe	tshan teu fon zoe	461
撮	撮	tshaq7	tshaq7	461
撮	撮	tsoq7	tsoq7	461
撮引	撮引	tshaq yin	tshaq yin	461
撮佬	撮佬	tshaq lau	tshaq lau	461
撮白失	撮白失	tshaq baq syuq	tshaq baq soq	461
撮外快	撮外快	tshaq nga khua	tshaq nga khua	461
撮頭鈿	撮头钿	tshaq deu di	tshaq deu di	461
撮頭	撮头	tshaq deu	tshaq deu	461
撮紙頭	撮纸头	tshaq tsy deu	tshaq tsy deu	461
撮紙團	撮纸团	tshaq tsy doe	tshaq tsy doe	461
撮便宜	撮便宜	tshaq bi gni	tshaq bi gni	461
撮來依倒	撮来依倒	tshaq le i tau	tshaq le i tau	462
撬	撬	jiau6	jiau6	462
撬䏘桶	撬䏘桶	jiau phiq don	jiau phiq don	462
撘	撘	taq7	taq7	462
鋬頭	鋬头	phae deu	phae deu	462
㩉	㩉	shiq7	shiq7	462
撞頭	撞头	dzaon deu	dzaon deu	462
攛	撺	tshoe1	tshoe1	462
鞋爿	鞋爿	gha bae	gha bae	462
鞋荸薺	鞋荸荠	gha bu ji	gha bu ji	463
斢	斢	theu1	theu1	463
薀草	蕰草	uen tshau	uen tshau	463
蕊頭	蕊头	gniu deu	gniu deu	463
橫	横	wan6	wan6	463
橫頭	横头	wan deu	wan deu	463
橫對	横对	uan tei	uan tei	463
橫裏	横里	uan li	uan li	463
橫縱	横纵	wan tson	wan tson	463
橫直	横直	wan jiq	wan jiq	464
橫簫	横箫	wan shiau	wan shiau	464
橫侄侄	横侄侄	uan tsy tsy	uan tsy tsy	464
橫豎橫	横竖横	wan zyu wan	wan zyu wan	464
橫豎橫	横竖横	wan zy wan	wan zy wan	464
橫橫動	横横动	wan wan don	wan wan don	464
槽頭肉	槽头肉	zau deu gnioq	zau deu gnioq	464
橄欖帽	橄榄帽	kae lae mau	kae lae mau	464
⿱剌虫	⿱剌虫	laq8	laq8	464
磕跌	磕跌	khaq tiq	khaq tiq	464
磕煞	磕煞	khaq saq	khaq saq	464
䃗	䃗	poq7	poq7	464
磉盤石	磉盘石	saon bun zaq	saon boe zaq	464
磉子	磉子	saon tsy	saon tsy	464
震	震	tsyun5	tsyun5	465
震	震	cin5	cin5	465
黴氣	霉气	mei chi	mei chi	465
黴麩	霉麸	mei fu	mei fu	465
黴乾菜	霉干菜	mei ki tshe	mei ki tshe	465
黴千層	霉千层	mei chi zen	mei chi zen	465
黴豆腐	霉豆腐	mei deu vu	mei deu vu	465
霉頭脫腦	霉头脱脑	mei deu thaq nau	mei deu thaq nau	465
𪉨	𪉨	chian5	chian5	465
𪉨蟹	𪉨蟹	chian ha	chian ha	465
覷	觑	tshyu5	tshyu5	465
瞌𥅻	瞌𥅻	khaq tshon	khaq tshon	465
瞌𥅻面貌	瞌𥅻面貌	khaq tshon mi mau	khaq tshon mi mau	465
瞞襠褲	瞒裆裤	mun taon khu	moe taon khu	466
暴	暴	pau5	pau5	466
暴	暴	bau6	bau6	466
暴時	暴时	bau zy	bau zy	466
暴鹽	暴盐	bau yi	bau yi	466
曂亮	曂亮	uaon lian	uaon lian	466
瞎講相	瞎讲相	haq kaon shian	haq kaon shian	466
瞎三話四	瞎三话四	haq sae wo sy	haq sae wo sy	466
瞎𠡒西𠡒	瞎𠡒西𠡒	haq tei shi tei	haq tei shi tei	467
瞎眼土鯆	瞎眼土鯆	haq ngae thu bu	haq ngae thu bu	467
嘶	嘶	shi1	shi1	467
踔	踔	nau6	nau6	467
踢腳線	踢脚线	thiq ciaq shi	thiq ciq shi	467
踏	踏	daq8	daq8	467
踏牀	踏床	daq zaon	daq zaon	467
踏牀頭	踏床头	daq zaon deu	daq zaon deu	467
踏腳	踏脚	daq ciaq	daq ciq	467
踏腳車	踏脚车	daq ciaq tsho	daq ciq tsho	467
踮腳	踮脚	ti ciaq	ti ciq	467
蝙蝠老鼠	蝙蝠老鼠	pi foq lau tsy	pi foq lau tsy	467
噢胡噢胡	噢胡噢胡	au wu au wu	au wu au wu	467
噇	噇	saon5	saon5	468
𠿭	𠿭	waq8	waq8	468
𠿭	𠿭	wa2	wa2	468
𠼢	𠼢	jian2	jian2	468
墨筆	墨笔	moq piq	moq piq	468
墨黑	墨黑	moq haq	moq haq	468
墨漆黑	墨漆黑	moq tshaq haq	moq tshaq haq	468
墨漆鐵黑	墨漆铁黑	moq tshaq thiq haq	moq tshaq thiq haq	468
墨漆地黑	墨漆地黑	moq tshaq di haq	moq tshaq di haq	468
墨裏墨黑	墨里墨黑	moq li moq haq	moq li moq haq	468
墨地漆黑	墨地漆黑	moq di tshaq haq	moq di tshaq haq	468
墨暗	墨暗	moq ei	moq ei	468
墨漆暗	墨漆暗	moq tshaq ei	moq tshaq ei	468
墨裏墨暗	墨里墨暗	moq li moq ei	moq li moq ei	468
墨漆地暗	墨漆地暗	moq tshaq di ei	moq tshaq di ei	468
墨裏漆暗	墨里漆暗	moq li tshaq ei	moq li tshaq ei	468
墨地漆暗	墨地漆暗	moq di tshaq ei	moq di tshaq ei	468
墨漆斯暗	墨漆斯暗	moq tshaq sy ei	moq tshaq sy ei	468
䫜臉	䫜脸	au li	au li	468
鑷子鉗	镊子钳	gniaq tsy ji	gniq tsy ji	468
𤛏	𤛏	tshyu1	tshyu1	468
靠	靠	khau5	khau5	469
靠硬	靠硬	khau ngan	khau ngan	469
靠夜快	靠夜快	khau ya khua	khau ya khua	469
稻叉	稻叉	dau tsho	dau tsho	469
稻雞	稻鸡	dau ci	dau ci	469
稻佩	稻佩	dau bei	dau bei	469
稻穗穀	稻穗谷	dau syu koq	dau syu koq	469
稻桶	稻桶	dau don	dau don	469
稻桶星	稻桶星	dau don shin	dau don shin	469
稻熟麻將	稻熟麻将	dau zoq mo cian	dau zoq mo cian	469
稴	稴	li4	li6	469
箲帚	箲帚	shi cieu	shi cieu	470
僵	僵	cian1	cian1	470
僵果	僵果	cian kou	cian kou	470
僵硬骨粒	僵硬骨粒	cian ngan kuaq liq	cian ngan kuaq liq	470
儇	儇	huae1	huae1	470
䠻	䠻	chiun5	chiun5	470
𧍢	𧍢	yi2	yi2	470
𧱝	𧱝	chiun5	chiun5	470
𧱝頭	𧱝头	chiun deu	chiun deu	471
𧱝頭子	𧱝头子	chiun deu tsy	chiun deu tsy	471
𩔃	𩔃	gniu2	gniu2	471
鷂子	鹞子	yau tsy	yau tsy	471
鷂虻	鹞虻	yau man	yau man	471
䢃	䢃	i3	i3	471
𧡸睛	𧡸睛	theu cin	theu cin	471
鯁	鲠	gan4	gan6	471
鯁胡嚨	鲠胡咙	gan wu lon	gan wu lon	471
鯁胡嚨	鲠胡咙	gan u lon	gan u lon	471
饐掉	饐掉	i diau	i diau	471
熟	熟	zoq8	zoq8	472
熟起	熟起	zoq chi	zoq chi	472
熟泥泥	熟泥泥	zoq gni gni	zoq gni gni	472
勯	勯	thae1	thae1	472
癟炄炄	瘪炄炄	piq gnieu gnieu	piq gnieu gnieu	472
癟炄㾭	瘪炄㾭	piq gnieu chieu	piq gnieu chieu	472
癟塌塌	瘪塌塌	piq thaq thaq	piq thaq thaq	472
癟西西	瘪西西	piq shi shi	piq shi shi	472
癟宕宕	瘪宕宕	piq than than	piq than than	472
癟䫲䫲	瘪䫲䫲	piq hae hae	piq hae hae	472
癟嘴癟得	瘪嘴瘪得	piq tsyu piq taq	piq tsyu piq taq	473
㾸𤶁	㾸𤶁	kaq lau	kaq lau	473
瘚	瘚	ciuq7	ciuq7	473
羯	羯	ciq7	ciq7	473
羯狗娘	羯狗娘	ciq keu gnian	ciq keu gnian	473
𨂝	𨂝	bae6	bae6	473
⿰米鬼	⿰米鬼	khuei5	khuei5	473
熯	熯	hei5	hei5	473
凚	凚	jin4	jin6	474
𤎨	𤎨	piq7	piq7	474
潮	潮	jiau2	jiau2	474
澄	澄	tin5	tin5	474
澄	澄	ten5	ten5	474
𦫪	𦫪	o3	o3	474
𦫪色	𦫪色	o saq	o saq	474
額角頭	额角头	ngaq koq deu	ngaq koq deu	474
嬉䏘	嬉䏘	shi phiq	shi phiq	474
繚繳	缭缴	liau ciau	liau ciau	475
攋	攋	la4	la6	475
攋鉤	攋钩	la keu	la keu	475
攋草筢	攋草筢	la tshau bo	la tshau bo	475
擂	擂	lei6	lei6	475
擂盆	擂盆	lei ben	lei ben	475
擂倒	擂倒	lei tau	lei tau	476
擂盤	擂盘	lei bun	lei boe	476
擂倒牌子	擂倒牌子	lei tau ba tsy	lei tau ba tsy	476
𧼰	𧼰	zaq8	zaq8	476
𧼰出	𧼰出	zaq tshyuq	zaq tshyuq	476
𧼰時裏	𧼰时里	zaq zy li	zaq zy li	476
𧼰時	𧼰时	zaq zy	zaq zy	476
𧼱	𧼱	biq8	biq8	476
𧼱出	𧼱出	biq tshyuq	biq tshyuq	476
甏	甏	ban6	ban6	476
𢶀	𢶀	tshei3	tshei3	477
䭁掉	䭁掉	tsoq diau	tsoq diau	477
䭁	䭁	tsoq7	tsoq7	477
鞔	鞔	mun2	moe2	477
薧頭	薧头	khau deu	khau deu	477
薧頭	薧头	khau dei	khau dei	477
薄	薄	boq8	boq8	477
薄刀	薄刀	boq tau	boq tau	477
薄刀	薄刀	baq tau	baq tau	477
顛	颠	ti1	ti1	477
橛	橛	jiuq8	jiuq8	477
橛頭	橛头	jiuq deu	jiuq deu	478
櫓烏珠	橹乌珠	lu u tsyu	lu u tsyu	478
整個	整个	cin kou	cin kou	478
瓢羹	瓢羹	biau kan	biau kan	478
𨆪	𫏕	gen6	gen6	478
瞠	瞠	dzan6	dzan6	478
𥉻	𥉻	chi5	chi5	478
嚄	嚄	hoq7	hoq7	478
嚄	嚄	ghoq8	ghoq8	478
𡀂	𡀂	lei2	lei2	478
嘴䩉	嘴䩉	tsyu bu	tsyu bu	479
嘴巴皮	嘴巴皮	tsyu po bi	tsyu po bi	479
嘴巴爿	嘴巴爿	tsyu po bae	tsyu po bae	479
嘴角瘡	嘴角疮	tsyu koq tshaon	tsyu koq tshaon	479
嘴角瘡	嘴角疮	tsyu kaq tshaon	tsyu kaq tshaon	479
嘴脣皮	嘴唇皮	tsyu zyun bi	tsyu zyun bi	479
嘴脣膏	嘴唇膏	tsyu zyun kau	tsyu zyun kau	479
蹄髈	蹄髈	di phaon	di phaon	479
蹁	蹁	bi2	bi2	479
蹁倒	蹁倒	bi tau	bi tau	479
螟蜅鯗	螟蜅鲞	min fu shian	min fu shian	479
噱噱	噱噱	ga ga	ga ga	479
鏜鑼	镗锣	daon lou	daon lou	480
篦䇫	篦䇫	pi ci	pi ci	480
篷	篷	bon2	bon2	480
篙子	篙子	kau tsy	kau tsy	480
膯	膯	ten1	ten1	480
撉	撉	ten5	ten5	480
邅	邅	tsae3	tsae3	480
邅預支	邅预支	tsae yu tsy	tsae yu tsy	480
瘰	瘰	lei4	lei6	480
癮頭	瘾头	gni deu	gni deu	480
糙	糙	tshau5	tshau5	481
糙粒不剌	糙粒不剌	tshau liq paq la	tshau liq paq la	481
甑	甑	tsen1	tsen1	481
燂	燂	dae2	dae2	481
燠	燠	au5	au5	481
燉	燉	ten5	ten5	481
𣿊	𣿊	li6	li6	481
𣿈𠠖	𣿈𠠖	saq kon	saq kon	481
懶樸	懒朴	lae phoq	lae phoq	482
懶婦	懒妇	lae vu	lae vu	482
